Classification Algorithm,Accuracy,Relative Difference,Subordinate Rank
VGG-16,0.932,0.04115226337448552,9.588477366255145
VGG-19,0.938,0.03497942386831279,9.650205761316872
VGG-16 (Alejo),0.891,0.0833333333333333,9.166666666666668
AlexNet (Alejo),0.873,0.10185185185185183,8.981481481481481
ResNet-18,0.914,0.05967078189300406,9.40329218106996
ResNet-34,0.922,0.05144032921810693,9.485596707818932
ResNet-50,0.955,0.017489711934156396,9.825102880658436
ResNet-101,0.961,0.01131687242798355,9.886831275720164
ResNet-18 (Alejo),0.924,0.049382716049382644,9.506172839506174
ResNet-50 (Kanawade),0.915,0.05864197530864192,9.41358024691358
DenseNet-121,0.942,0.030864197530864227,9.691358024691358
DenseNet-169,0.948,0.02469135802469138,9.753086419753085
DenseNet-201,0.957,0.015432098765432114,9.845679012345679
DenseNet-201 (Kanawade),0.892,0.08230452674897115,9.17695473251029
EfficientNet-B0,0.927,0.046296296296296224,9.537037037037038
EfficientNet-B1,0.935,0.0380658436213991,9.619341563786008
EfficientNet-B2,0.941,0.031893004115226366,9.681069958847736
EfficientNet-V2-B0,0.921,0.05246913580246907,9.475308641975309
EfficientNet-V2-B1,0.928,0.04526748971193408,9.54732510288066
MobileNet-V1,0.867,0.10802469135802467,8.919753086419753
MobileNet-V2,0.893,0.08127572016460902,9.18724279835391
MobileNet-V3-Small,0.903,0.07098765432098761,9.290123456790123
MobileNet-V3-Large,0.961,0.01131687242798355,9.886831275720164
Inception-V3,0.945,0.027777777777777804,9.722222222222221
Inception-ResNet-V2,0.951,0.021604938271604958,9.783950617283951
Xception,0.947,0.025720164609053523,9.742798353909464
NASNet-Mobile,0.908,0.0658436213991769,9.341563786008232
MobileNet-V3 Branch,0.908,0.0658436213991769,9.341563786008232
ResNet-50 Branch,0.915,0.05864197530864192,9.41358024691358
Custom CNN,0.972,0.0,10.0
Deep CNN (Patel),0.856,0.11934156378600823,8.806584362139917
DL CNN (Bhavani),0.887,0.08744855967078186,9.12551440329218
CNN + IP (Noor),0.92,0.05349794238683121,9.465020576131687
