Object Detection Algorithm,F1-score,Relative Difference,Subordinate Rank
YOLOv3,0.861,0.07019438444924411,9.29805615550756
YOLOv5n,0.889,0.039956803455723576,9.600431965442764
YOLOv5s,0.898,0.030237580993520544,9.697624190064795
YOLOv5m,0.912,0.015118790496760272,9.848812095032397
YOLOv7,0.817,0.11771058315334783,8.822894168466522
YOLOv7-tiny,0.874,0.056155507559395294,9.438444924406047
YOLOv8n (PesoScan),0.926,0.0,10.0
YOLOv8s,0.921,0.00539956803455724,9.946004319654428
YOLOv11n,0.903,0.024838012958963304,9.751619870410368
YOLOv11s,0.915,0.011879049676025927,9.881209503239742
YOLO Generic,0.847,0.08531317494600439,9.146868250539956
Faster R-CNN,0.878,0.0518358531317495,9.481641468682504
SSD MobileNet,0.842,0.09071274298056163,9.092872570194384
RetinaNet,0.887,0.04211663066954647,9.578833693304535
