Classification Algorithm,Inference Speed (s),Relative Difference,Subordinate Rank
VGG-16,0.078,7.666666666666668,2.333333333333332
VGG-19,0.085,8.444444444444446,1.5555555555555536
VGG-16 (Alejo),0.042,3.666666666666667,6.333333333333333
AlexNet (Alejo),0.028,2.1111111111111116,7.888888888888888
ResNet-18,0.019,1.1111111111111112,8.88888888888889
ResNet-34,0.024,1.666666666666667,8.333333333333332
ResNet-50,0.052,4.777777777777778,5.222222222222222
ResNet-101,0.072,7.000000000000001,2.999999999999999
ResNet-18 (Alejo),0.024,1.666666666666667,8.333333333333332
ResNet-50 (Kanawade),0.032,2.555555555555556,7.444444444444445
DenseNet-121,0.035,2.8888888888888893,7.111111111111111
DenseNet-169,0.042,3.666666666666667,6.333333333333333
DenseNet-201,0.06,5.666666666666667,4.333333333333333
DenseNet-201 (Kanawade),0.045,4.0,6.0
EfficientNet-B0,0.015,0.6666666666666667,9.333333333333334
EfficientNet-B1,0.019,1.1111111111111112,8.88888888888889
EfficientNet-B2,0.023,1.5555555555555558,8.444444444444445
EfficientNet-V2-B0,0.018,1.0,9.0
EfficientNet-V2-B1,0.022,1.4444444444444444,8.555555555555555
MobileNet-V1,0.012,0.3333333333333335,9.666666666666666
MobileNet-V2,0.014,0.5555555555555557,9.444444444444445
MobileNet-V3-Small,0.009,0.0,10.0
MobileNet-V3-Large,0.045,4.0,6.0
Inception-V3,0.068,6.555555555555556,3.4444444444444438
Inception-ResNet-V2,0.082,8.111111111111112,1.8888888888888875
Xception,0.075,7.333333333333334,2.666666666666666
NASNet-Mobile,0.016,0.7777777777777779,9.222222222222221
MobileNet-V3 Branch,0.011,0.22222222222222224,9.777777777777779
ResNet-50 Branch,0.032,2.555555555555556,7.444444444444445
Custom CNN,0.041,3.555555555555556,6.444444444444445
Deep CNN (Patel),0.055,5.111111111111112,4.888888888888888
DL CNN (Bhavani),0.038,3.2222222222222223,6.777777777777778
CNN + IP (Noor),0.065,6.222222222222223,3.777777777777777
