Classification Algorithm,Accuracy,F1-score,Inference Speed,Composite Score
Custom CNN (ResNet-50 + MobileNetV3),9.91,9.92,9.55,9.79
ResNet-101,9.8,9.88,3.22,7.63
MobileNet-V3-Large,9.87,9.88,9.0,9.58
DenseNet-201,9.84,9.82,5.37,8.34
ResNet-50,9.82,9.84,8.29,9.32
Inception-ResNet-V2,9.79,9.75,2.44,7.33
DenseNet-169,9.76,9.72,8.67,9.38
Xception,9.74,9.71,3.56,7.67
Inception-V3,9.73,9.69,4.0,7.81
DenseNet-121,9.7,9.65,8.22,9.19
EfficientNet-B2,9.69,9.64,8.89,9.41
VGG-19,9.66,9.6,2.67,7.31
EfficientNet-B1,9.64,9.58,9.33,9.52
EfficientNet-V2-B1,9.56,9.52,9.11,9.4
EfficientNet-B0,9.54,9.5,9.56,9.53
