Object Detection Algorithm,mAP@50,Relative Difference,Subordinate Rank
YOLOv3,0.873,0.07911392405063288,9.208860759493671
YOLOv5n,0.905,0.04535864978902946,9.546413502109706
YOLOv5s,0.917,0.03270042194092818,9.672995780590718
YOLOv5m,0.928,0.02109704641350201,9.78902953586498
YOLOv7,0.934,0.014767932489451373,9.852320675105487
YOLOv7-tiny,0.889,0.062236286919831164,9.377637130801688
YOLOv8n (PesoScan),0.948,0.0,10.0
YOLOv8s,0.943,0.005274261603375532,9.947257383966244
YOLOv11n,0.918,0.031645569620253076,9.683544303797468
YOLOv11s,0.925,0.02426160337552733,9.757383966244726
YOLO Generic,0.863,0.08966244725738394,9.103375527426161
Faster R-CNN,0.891,0.06012658227848095,9.398734177215191
SSD MobileNet,0.856,0.09704641350210969,9.029535864978904
RetinaNet,0.902,0.04852320675105478,9.514767932489452
