epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95595,1.30746,3.10762,1.56156,0.01399,1,0.62,0.62,0.21041,3.12165,0.95721,8.574e-05,8.574e-05,8.574e-05
2,10.8209,1.30273,2.99994,1.49909,0.01274,1,0.995,0.995,0.2336,3.12932,0.98896,0.00017964,0.00017964,0.00017964
3,15.3369,1.23719,2.74625,1.51817,0.00971,1,0.995,0.92037,0.32523,3.11467,0.97709,0.000266937,0.000266937,0.000266937
4,19.508,1.04048,2.58707,1.32283,0.00858,1,0.995,0.92036,0.36644,3.09391,0.99071,0.000347633,0.000347633,0.000347633
5,24.3326,0.97377,2.23925,1.31104,0.00637,1,0.995,0.92033,0.31422,2.93873,1.00462,0.000421726,0.000421726,0.000421726
6,28.5886,1.07314,2.15742,1.37476,0.0058,1,0.995,0.92032,0.34733,2.78873,0.99737,0.000489218,0.000489218,0.000489218
7,32.6465,1.17979,2.01117,1.41237,0.0058,1,0.995,0.92032,0.34733,2.78873,0.99737,0.000550108,0.000550108,0.000550108
8,36.7609,1.04633,1.69825,1.28761,0.00542,1,0.995,0.92032,0.41188,2.67946,1.00308,0.000604396,0.000604396,0.000604396
9,40.747,1.06166,1.72747,1.29428,0.00635,1,0.995,0.94508,0.36085,2.57553,1.01841,0.000652081,0.000652081,0.000652081
10,45.2605,1.11971,1.76171,1.37705,0.00635,1,0.995,0.94508,0.36085,2.57553,1.01841,0.000693165,0.000693165,0.000693165
11,49.6085,1.0827,1.52746,1.4103,0.62174,1,0.995,0.94512,0.3842,2.33701,1.03395,0.000727647,0.000727647,0.000727647
12,53.7559,0.98918,1.64983,1.3031,0.62174,1,0.995,0.94512,0.3842,2.33701,1.03395,0.000755527,0.000755527,0.000755527
13,58.0993,1.09049,1.46994,1.35395,0.97661,1,0.995,0.94514,0.50189,4.40403,1.11591,0.000776804,0.000776804,0.000776804
14,62.1696,1.06749,1.58518,1.34016,0.97661,1,0.995,0.94514,0.50189,4.40403,1.11591,0.00079148,0.00079148,0.00079148
15,66.4658,0.95484,1.34322,1.26469,0.98104,1,0.995,0.8209,0.52798,5.54903,1.09381,0.000768802,0.000768802,0.000768802
16,70.6539,1.14815,1.49452,1.52011,0.98104,1,0.995,0.8209,0.52798,5.54903,1.09381,0.000721645,0.000721645,0.000721645
17,74.6312,1.01337,1.48523,1.27447,0.97963,1,0.995,0.8209,0.53963,2.84815,1.13398,0.000674488,0.000674488,0.000674488
18,78.7825,0.96128,1.52798,1.30081,0.97963,1,0.995,0.8209,0.53963,2.84815,1.13398,0.000627331,0.000627331,0.000627331
19,83.646,1.00305,1.37389,1.26105,0.97963,1,0.995,0.8209,0.53963,2.84815,1.13398,0.000580174,0.000580174,0.000580174
20,87.8346,0.99136,1.32689,1.31066,0.98151,1,0.995,0.82089,0.56292,1.75553,1.2032,0.000533017,0.000533017,0.000533017
21,92.161,0.94221,1.57328,1.27062,0.98151,1,0.995,0.82089,0.56292,1.75553,1.2032,0.00048586,0.00048586,0.00048586
22,96.3306,0.85144,1.42373,1.13814,0.98508,1,0.995,0.8955,0.58971,1.56461,1.22932,0.000438703,0.000438703,0.000438703
23,100.377,0.8178,1.32662,1.21072,0.98508,1,0.995,0.8955,0.58971,1.56461,1.22932,0.000391546,0.000391546,0.000391546
24,104.376,0.81844,1.27477,1.13585,0.98217,1,0.995,0.84563,0.58019,1.54421,1.24364,0.000344389,0.000344389,0.000344389
25,108.463,0.95286,1.32513,1.37018,0.98217,1,0.995,0.84563,0.58019,1.54421,1.24364,0.000297232,0.000297232,0.000297232
26,112.44,0.81448,1.37559,1.18739,0.98139,1,0.995,0.84564,0.59869,1.55013,1.27725,0.000250075,0.000250075,0.000250075
27,116.47,0.74635,1.17563,1.14012,0.98139,1,0.995,0.84564,0.59869,1.55013,1.27725,0.000202918,0.000202918,0.000202918
28,120.727,0.80725,1.20413,1.22035,0.98139,1,0.995,0.84564,0.59869,1.55013,1.27725,0.000155761,0.000155761,0.000155761
29,124.812,0.78395,1.65422,1.07864,0.9816,1,0.995,0.84564,0.54135,1.49753,1.2205,0.000108604,0.000108604,0.000108604
30,128.959,0.86487,1.19917,1.22091,0.9816,1,0.995,0.84564,0.54135,1.49753,1.2205,6.1447e-05,6.1447e-05,6.1447e-05
